timeline_id	site_name	latitude_dd (float)	longitude_dd (float)	geometry_type	extent_earliest_ybp	extent_latest_ybp	phyto_subzone_region_id (string option)
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	Lake Boksekhandsken	70.73833333333333	-24.055	point	28137	7960	z4-p93
individualtimelinenode_5dfad8fa-d904-4bfc-b626-5eeb08ced60b	Ailsa Sø	75.31666666666666	-19.666666666666668	point	14565	455	z3-p92
individualtimelinenode_9a793e68-13ff-4595-b5aa-5ff8905e44a5	Peters Bugt Sø	75.31666666666666	-20.05	point	15996	152	z3-p92
individualtimelinenode_55605ff3-9812-494e-82f3-2695069b87fa	Qeqertat 	77.5	-66.65	point	7769	0	z3-p81
individualtimelinenode_f2c05308-7e21-4516-8d8f-a0c1e9295e59	Langesø	75.36666666666666	-58.6	point	9672	0	z3-p81
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	Sardlup qaqa	64.4	-51.68333333333333	point	10188	0	z4-p82
individualtimelinenode_317065f9-d59a-4a58-9592-ba20dcf81572	Terte  Lake A	64.46666666666667	-51.583333333333336	point	10281	0	z4-p82
individualtimelinenode_38a71e4f-a3fa-4afe-b3ab-7166c907c87e	Karra	64.76666666666667	-50.583333333333336	point	10788	0	z5-p83
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64.4	-50.2	point	10253	87	z5-p83
individualtimelinenode_7ad29507-799c-4376-b56f-1351f3b39160	Hugin Sø	70.76666666666667	-24.116666666666667	point	8643	299	z4-p92
individualtimelinenode_b207aaac-1da9-40a6-93c0-6266e760089c	Nigerdleq	62.065	-49.359	point	11173	58	z4-p84
