location_id	bin_early	bin_late	morphotype	taxon	rank	taxonomic_tree	taxon_ambiguous_with	variable	variable_unit	variable_value (float)	variable_ci (float option)	variable_confidence_qualitative (string option)
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	499	0	NA	community	NA	NA	NA	Leaf area (in case of compound leaves: leaf, petiole included)	unknown unit	245.49178687666665	489.85166831153396	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	499	0	NA	community	NA	NA	NA	Leaf nitrogen (N) content per leaf dry mass	unknown unit	18.997017846	8.147079095570996	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	499	0	NA	community	NA	NA	NA	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	unknown unit	20.12581519	10.626822383620278	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	499	0	NA	community	NA	NA	NA	Plant height vegetative	unknown unit	0.7401786717000001	0.6783065491172633	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	499	0	NA	community	NA	NA	NA	Seed dry mass	unknown unit	1.9162887813	3.1908401188884987	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	499	0	NA	community	NA	NA	NA	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	unknown unit	0.24969023000000004	0.14423395819951212	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	999	500	NA	community	NA	NA	NA	Leaf area (in case of compound leaves: leaf, petiole included)	unknown unit	245.49178687666665	489.85166831153396	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	999	500	NA	community	NA	NA	NA	Leaf nitrogen (N) content per leaf dry mass	unknown unit	18.997017846	8.147079095570996	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	999	500	NA	community	NA	NA	NA	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	unknown unit	20.12581519	10.626822383620278	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	999	500	NA	community	NA	NA	NA	Plant height vegetative	unknown unit	0.7401786717000001	0.6783065491172633	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	999	500	NA	community	NA	NA	NA	Seed dry mass	unknown unit	1.9162887813	3.1908401188884987	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	999	500	NA	community	NA	NA	NA	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	unknown unit	0.24969023000000004	0.14423395819951212	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1499	1000	NA	community	NA	NA	NA	Leaf area (in case of compound leaves: leaf, petiole included)	unknown unit	274.5873284175	493.98535566961556	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1499	1000	NA	community	NA	NA	NA	Leaf nitrogen (N) content per leaf dry mass	unknown unit	19.89084662	8.269615957090739	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1499	1000	NA	community	NA	NA	NA	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	unknown unit	21.153147584444444	10.650153241612863	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1499	1000	NA	community	NA	NA	NA	Plant height vegetative	unknown unit	0.2142468333333333	0.2018499770849271	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1499	1000	NA	community	NA	NA	NA	Seed dry mass	unknown unit	0.39649256033333335	0.35292637557106954	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1499	1000	NA	community	NA	NA	NA	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	unknown unit	0.20344844716666668	0.13966108571918517	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1999	1500	NA	community	NA	NA	NA	Leaf area (in case of compound leaves: leaf, petiole included)	unknown unit	245.49178687666665	489.85166831153396	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1999	1500	NA	community	NA	NA	NA	Leaf nitrogen (N) content per leaf dry mass	unknown unit	18.997017846	8.147079095570996	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1999	1500	NA	community	NA	NA	NA	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	unknown unit	20.12581519	10.626822383620278	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1999	1500	NA	community	NA	NA	NA	Plant height vegetative	unknown unit	0.7401786717000001	0.6783065491172633	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1999	1500	NA	community	NA	NA	NA	Seed dry mass	unknown unit	1.9162887813	3.1908401188884987	
