location_id	bin_early	bin_late	morphotype	taxon	rank	taxonomic_tree	taxon_ambiguous_with	variable	variable_unit	variable_value (float)	variable_ci (float option)	variable_confidence_qualitative (string option)
z5-p83	499	0	NA	community	NA	NA	NA	Leaf area (in case of compound leaves: leaf, petiole included)	mm^2	1407.712630925	806.4065830788833	
z5-p83	499	0	NA	community	NA	NA	NA	Leaf nitrogen (N) content per leaf dry mass	mg/g	21.172060119571427	8.649953976175626	
z5-p83	499	0	NA	community	NA	NA	NA	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	mm^2/mg	17.25756847285714	7.972598097501138	
z5-p83	499	0	NA	community	NA	NA	NA	Plant height vegetative	m	3.180847713857143	8.252425364546609	
z5-p83	499	0	NA	community	NA	NA	NA	Seed dry mass	mg	3.627990971333334	5.346565058576624	
z5-p83	499	0	NA	community	NA	NA	NA	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	g/cm^3	0.40931472350000003	0.17312397339975297	
z5-p83	999	500	NA	community	NA	NA	NA	Leaf area (in case of compound leaves: leaf, petiole included)	mm^2	1256.71484269375	882.8821571806997	
z5-p83	999	500	NA	community	NA	NA	NA	Leaf nitrogen (N) content per leaf dry mass	mg/g	20.384715152699997	7.503274930577202	
z5-p83	999	500	NA	community	NA	NA	NA	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	mm^2/mg	16.330156589090908	7.277345631086234	
z5-p83	999	500	NA	community	NA	NA	NA	Plant height vegetative	m	2.028072059	7.445880917137813	
z5-p83	999	500	NA	community	NA	NA	NA	Seed dry mass	mg	3.3306706574545455	4.472418744054482	
z5-p83	999	500	NA	community	NA	NA	NA	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	g/cm^3	0.33712507150000004	0.17152855923867472	
z5-p83	1499	1000	NA	community	NA	NA	NA	Leaf area (in case of compound leaves: leaf, petiole included)	mm^2	998.238017875	934.2876238094149	
z5-p83	1499	1000	NA	community	NA	NA	NA	Leaf nitrogen (N) content per leaf dry mass	mg/g	19.092509131142858	6.976546682700113	
z5-p83	1499	1000	NA	community	NA	NA	NA	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	mm^2/mg	16.34133249875	5.769315641432017	
z5-p83	1499	1000	NA	community	NA	NA	NA	Plant height vegetative	m	2.635911960333333	9.246568148350118	
z5-p83	1499	1000	NA	community	NA	NA	NA	Seed dry mass	mg	4.228608492125001	4.9690302049987345	
z5-p83	1499	1000	NA	community	NA	NA	NA	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	g/cm^3	0.33540100580000004	0.1680151973446724	
z5-p83	1999	1500	NA	community	NA	NA	NA	Leaf area (in case of compound leaves: leaf, petiole included)	mm^2	918.07909231	462.9618797310987	
z5-p83	1999	1500	NA	community	NA	NA	NA	Leaf nitrogen (N) content per leaf dry mass	mg/g	20.608344084	7.4338662623889995	
z5-p83	1999	1500	NA	community	NA	NA	NA	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	mm^2/mg	16.01224438	8.053715169217847	
z5-p83	1999	1500	NA	community	NA	NA	NA	Plant height vegetative	m	2.470775588111111	9.00491048989025	
z5-p83	1999	1500	NA	community	NA	NA	NA	Seed dry mass	mg	2.62035097925	5.632486200354129	
z5-p83	1999	1500	NA	community	NA	NA	NA	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	g/cm^3	0.34385369800000004	0.16869043356357302	
