location_id	bin_early	bin_late	morphotype	taxon	rank	taxonomic_tree	taxon_ambiguous_with	variable	variable_unit	variable_value (float)	variable_ci (float option)	variable_confidence_qualitative (string option)
z4-p93	7499	7000	NA	community	NA	NA	NA	Leaf area (in case of compound leaves: leaf, petiole included)	unknown unit	NaN	NaN	
z4-p93	7499	7000	NA	community	NA	NA	NA	Leaf nitrogen (N) content per leaf dry mass	unknown unit	NaN	NaN	
z4-p93	7499	7000	NA	community	NA	NA	NA	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	unknown unit	NaN	NaN	
z4-p93	7499	7000	NA	community	NA	NA	NA	Plant height vegetative	unknown unit	NaN	NaN	
z4-p93	7499	7000	NA	community	NA	NA	NA	Seed dry mass	unknown unit	NaN	NaN	
z4-p93	7499	7000	NA	community	NA	NA	NA	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	unknown unit	NaN	NaN	
z4-p93	7999	7500	NA	community	NA	NA	NA	Leaf area (in case of compound leaves: leaf, petiole included)	unknown unit	NaN	NaN	
z4-p93	7999	7500	NA	community	NA	NA	NA	Leaf nitrogen (N) content per leaf dry mass	unknown unit	NaN	NaN	
z4-p93	7999	7500	NA	community	NA	NA	NA	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	unknown unit	NaN	NaN	
z4-p93	7999	7500	NA	community	NA	NA	NA	Plant height vegetative	unknown unit	NaN	NaN	
z4-p93	7999	7500	NA	community	NA	NA	NA	Seed dry mass	unknown unit	NaN	NaN	
z4-p93	7999	7500	NA	community	NA	NA	NA	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	unknown unit	NaN	NaN	
z4-p93	8499	8000	NA	community	NA	NA	NA	Leaf area (in case of compound leaves: leaf, petiole included)	unknown unit	NaN	NaN	
z4-p93	8499	8000	NA	community	NA	NA	NA	Leaf nitrogen (N) content per leaf dry mass	unknown unit	NaN	NaN	
z4-p93	8499	8000	NA	community	NA	NA	NA	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	unknown unit	NaN	NaN	
z4-p93	8499	8000	NA	community	NA	NA	NA	Plant height vegetative	unknown unit	NaN	NaN	
z4-p93	8499	8000	NA	community	NA	NA	NA	Seed dry mass	unknown unit	NaN	NaN	
z4-p93	8499	8000	NA	community	NA	NA	NA	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	unknown unit	NaN	NaN	
z4-p93	8999	8500	NA	community	NA	NA	NA	Leaf area (in case of compound leaves: leaf, petiole included)	unknown unit	NaN	NaN	
