Taxon	Genus	Species	Subunit	Subunit Value	ID	TaxonOriginal	Ic	FN	KP	SF	UN	YG	Tm	AO	Kh	YK	CW	WI	CS	CE	AW	AN	CC	HL	EP	GW	GE	A	B	C	D	E	N
	LYCOPODIACEAE				1	LYCOPODIACEAE																											
	Lycopodium				101	Lycopodium																											
L. annotinum subsp. annotinum	Lycopodium	annotinum	subsp.	annotinum	010101a	L. annotinum subsp. annotinum	b	r	r	-	-	r	r	-	-	-	-	-	r	-	s	r	r	r	-	r	r	-	-	-	-	R	F
L. annotinum subsp. alpestre	Lycopodium	annotinum	subsp.	alpestre	010101b	L. annotinum subsp. alpestre	f	f	s	-	s	r	r	r	r	r	s	-	f	f	s	s	r	s	-	f	f	-	-	R	F	F	S
L. clavatum subsp. clavatum	Lycopodium	clavatum	subsp.	clavatum	010102a	L. clavatum subsp. clavatum	-	-	r	-	-	b	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
L. clavatum subsp. monostachyon	Lycopodium	clavatum	subsp.	monostachyon	010102b	L. clavatum subsp. monostachyon	-	s	s	-	r	r	r	-	-	-	-	-	r	s	s	r	-	r	-	r	r	-	-	-	-	S	F
L. dendroideum	Lycopodium	dendroideum			10103	L. dendroideum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	r	-	-	-	-	-	-	-	R	F
	Diphasiastrum				102	Diphasiastrum																											
D. complanatum subsp. complanatum	Diphasiastrum	complanatum	subsp.	complanatum	010201a	D. complanatum subsp. complanatum	-	r	r	-	-	-	r	-	-	-	-	-	-	-	r	r	r	r	-	-	-	-	-	-	-	R	F
D. complanatum subsp. montellii	Diphasiastrum	complanatum	subsp.	montellii	010201b	D. complanatum subsp. montellii	-	r	r	-	-	-	-	-	-	-	-	-	-	-	s	f	X	X	-	s	-	-	-	?	R	R	F
D. sitchense	Diphasiastrum	sitchense			10202	D. sitchense	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	?	-	-	-	-	-	R	S
D. alpinum	Diphasiastrum	alpinum			10203	D. alpinum	f	f	f	-	f	s	r	-	-	-	-	-	f	r	f	r	-	r	-	f	f	-	-	R	F	F	F
	Huperzia				103	Huperzia																											
H. selago	Huperzia	selago			10301	H. selago	r	-	r	-	r	-	-	-	-	-	-	-	-	-	-	-	r	r	-	r	r	-	-	-	-	R	F
H. appressa	Huperzia	appressa			10302	H. appressa	f	f	s	-	s	r	r	-	-	-	-	-	-	-	-	-	-	r	-	f	f	-	R	F	F	F	F
H. arctica	Huperzia	arctica			10303	H. arctica	-	-	r	s	r	r	s	s	s	r	f	r	s	?	?	?	s	r	r	f	f	-	S	F	F	F	S
H. haleakalae	Huperzia	haleakalae			10304	H. haleakalae	-	-	-	-	-	-	-	-	-	-	-	-	?	?	r	r	?	-	-	-	-	-	-	-	?	S	F
H. miyoshiana	Huperzia	miyoshiana			10305	H. miyoshiana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	S
	SELAGINELLACEAE				2	SELAGINELLACEAE																											
	Selaginella				201	Selaginella																											
S. selaginoides	Selaginella	selaginoides			20101	S. selaginoides	f	s	s	-	r	-	r	r	-	-	-	-	-	r	r	r	b	r	-	s	s	-	-	-	R	F	F
S. sibirica	Selaginella	sibirica			20102	S. sibirica	-	-	-	-	-	-	-	?	r	r	f	s	f	s	s	f	r	-	-	-	-	-	-	-	R	F	F
S. rupestris	Selaginella	rupestris			20103	S. rupestris	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	R	S
	ISOETACEAE				3	ISOETACEAE																											
	Isoetes				301	Isoetes																											
I. lacustris	Isoetes	lacustris			30101	I. lacustris	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	R	F
I. echinospora	Isoetes	echinospora			30102	I. echinospora	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
I. muricata	Isoetes	muricata			30103	I. muricata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	r	-	s	r	-	-	-	-	R	F
	EQUISETACEAE				4	EQUISETACEAE																											
	Equisetum				401	Equisetum																											
E. fluviatile	Equisetum	fluviatile			40101	E. fluviatile	f	f	s	-	r	r	r	-	r	r	r	-	s	r	s	s	r	s	-	-	-	-	-	-	?	F	F
E. palustre	Equisetum	palustre			40102	E. palustre	f	s	s	-	r	-	r	r	s	-	r	-	-	f	r	s	r	r	-	-	-	-	-	-	?	S	F
E. pratense	Equisetum	pratense			40103	E. pratense	f	s	s	-	s	r	r	-	-	-	r	-	f	f	s	s	-	r	-	-	-	-	-	-	?	S	F
E. sylvaticum	Equisetum	sylvaticum			40104	E. sylvaticum	r	f	s	-	?	r	r	-	-	-	-	-	s	r	s	-	r	r	-	s	-	-	-	-	R	S	F
E. arvense subsp. arvense	Equisetum	arvense	subsp.	arvense	040105a	E. arvense subsp. arvense	s	f	r	**	r	r	r	-	-	-	-	-	-	-	-	-	?	s	-	s	s	-	-	-	?	F	F
E. arvense subsp. alpestre	Equisetum	arvense	subsp.	alpestre	040105b	E. arvense subsp. alpestre	f	s	f	f	f	s	s	s	s	r	f	f	f	f	f	s	s	f	s	f	f	R	F	F	F	R	R
E. hyemale subsp. hyemale	Equisetum	hyemale	subsp.	hyemale	040106a	E. hyemale subsp. hyemale	f	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	R	F
E. hyemale subsp. affine	Equisetum	hyemale	subsp.	affine	040106b	E. hyemale subsp. affine	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	b	-	-	-	-	-	-	-	-	-	b	S
E. x mackaii	Equisetum	x	mackaii		40107	E. x mackaii	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	X	-	-	-	-	?	R	F
E. variegatum subsp. variegatum	Equisetum	variegatum	subsp.	variegatum	040108a	E. variegatum subsp. variegatum	f	s	s	f	f	r	s	r	s	r	r	f	f	f	s	f	f	f	f	f	f	R	F	F	F	F	F
E. variegatum subsp. alaskanum	Equisetum	variegatum	subsp.	alaskanum	040108b	E. variegatum subsp. alaskanum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	F
E. scirpoides	Equisetum	scirpoides			40109	E. scirpoides	-	r	s	s	s	r	r	?	r	r	r	s	f	f	s	f	s	s	-	s	-	-	-	F	F	F	F
	OPHIOGLOSSACEAE				5	OPHIOGLOSSACEAE																											
	Botrychium				501	Botrychium																											
B. virginianum	Botrychium	virginianum			50101	B. virginianum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	S
B. multifidum (subsp. multifidum)	Botrychium	multifidum	(subsp.	multifidum)	50102	B. multifidum (subsp. multifidum)	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	-	r	-	r	-	-	-	-	-	R	S
B. lanceolatum (subsp. lanceolatum)	Botrychium	lanceolatum	(subsp.	lanceolatum)	50103	B. lanceolatum (subsp. lanceolatum)	s	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	r	-	s	r	-	-	?	R	R	S
B. boreale	Botrychium	boreale			50104	B. boreale	r	r	r	r	?	r	r	-	-	-	r	-	-	-	-	-	-	-	-	s	r	-	-	R	S	F	F
