taxon	rank	trait_id	trait_name	mean_value	unit	sd	n	origin
Pinaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	248.9633054	mm^2	178.8870352	343	global mean
Pinaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	12.47893708	mg/g	4.076026496	5300	global mean
Pinaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	6.72176095	mm^2/mg	5.044771305	876	global mean
Pinaceae	family	3106	Plant height vegetative	13.74655945	m	15.43905183	4669	global mean
Pinaceae	family	26	Seed dry mass	69.68456396	mg	176.3403025	1281	global mean
Pinaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.476104628	g/cm^3	0.106116523	869	global mean
Betulaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	3274.36552	mm^2	1471.811907	593	global mean
Betulaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	25.14708696	mg/g	16.97176698	1322	global mean
Betulaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	34.75599829	mm^2/mg	14.16180248	766	global mean
Betulaceae	family	3106	Plant height vegetative	6.496882963	m	5.950529049	1826	global mean
Betulaceae	family	26	Seed dry mass	106.1414077	mg	353.7548579	426	global mean
Betulaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.53665912	g/cm^3	0.196288156	191	global mean
Salicaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	4606.246797	mm^2	4377.612202	358	global mean
Salicaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	22.88266192	mg/g	7.657075083	1034	global mean
Salicaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	16.75026459	mm^2/mg	6.727916995	522	global mean
Salicaceae	family	3106	Plant height vegetative	10.096472	m	11.19497022	1334	global mean
Salicaceae	family	26	Seed dry mass	10.04945156	mg	45.82103305	421	global mean
Salicaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.535393589	g/cm^3	0.170299474	458	global mean
Ericaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	436.4896212	mm^2	615.9173093	248	global mean
Ericaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	13.20103974	mg/g	4.659683175	1502	global mean
Ericaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	13.06894125	mm^2/mg	7.696976407	512	global mean
Ericaceae	family	3106	Plant height vegetative	2.570542584	m	5.04606709	1287	global mean
Ericaceae	family	26	Seed dry mass	15.65816642	mg	67.30141226	944	global mean
Ericaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.587023052	g/cm^3	0.172436142	72	global mean
Rosaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	2466.47635	mm^2	2941.983675	1001	global mean
Rosaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	20.65708912	mg/g	7.402919729	1542	global mean
Rosaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	21.34257377	mm^2/mg	15.26022592	2081	global mean
Rosaceae	family	3106	Plant height vegetative	2.937836856	m	4.973299074	2944	global mean
Rosaceae	family	26	Seed dry mass	119.1584631	mg	372.9422874	1984	global mean
Rosaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.463084446	g/cm^3	0.358542699	216	global mean
Lentibulariaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	345.7	mm^2	NA	1	global mean
Lentibulariaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	17.01499582	mg/g	2.585413101	8	global mean
Lentibulariaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	56.32645953	mm^2/mg	15.23639861	19	global mean
Lentibulariaceae	family	3106	Plant height vegetative	0.246337846	m	0.265150468	65	global mean
Lentibulariaceae	family	26	Seed dry mass	2.671893827	mg	5.058467183	27	global mean
Lentibulariaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Fagaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	3450.815184	mm^2	2384.46829	2350	global mean
Fagaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	20.10861277	mg/g	5.607759638	4510	global mean
Fagaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	31.78036167	mm^2/mg	12.97418322	2322	global mean
Fagaceae	family	3106	Plant height vegetative	9.69971569	m	7.008926317	2878	global mean
Fagaceae	family	26	Seed dry mass	2708.896199	mg	3275.408394	780	global mean
Fagaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.65494228	g/cm^3	0.176160126	790	global mean
Plumbaginaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	2092.266061	mm^2	882.532294	11	global mean
Plumbaginaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	23.03109516	mg/g	6.682031381	61	global mean
Plumbaginaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	14.27440369	mm^2/mg	6.60339661	33	global mean
Plumbaginaceae	family	3106	Plant height vegetative	0.317873153	m	0.551745108	111	global mean
Plumbaginaceae	family	26	Seed dry mass	12.5267539	mg	51.67428029	73	global mean
Plumbaginaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Lycopodiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	4.16	mm^2	1.4075037	4	global mean
Lycopodiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	8.870722322	mg/g	2.746792433	64	global mean
Lycopodiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	20.41467308	mm^2/mg	15.49817792	37	global mean
Lycopodiaceae	family	3106	Plant height vegetative	0.306193103	m	0.48800678	58	global mean
Lycopodiaceae	family	26	Seed dry mass	1e-04	mg	0	1	global mean
Lycopodiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Hymenophyllaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Hymenophyllaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Hymenophyllaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	30.13118765	mm^2/mg	11.78694256	38	global mean
Hymenophyllaceae	family	3106	Plant height vegetative	1.937738095	m	2.18426805	42	global mean
Hymenophyllaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Hymenophyllaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Cystopteridaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	4743.084615	mm^2	2032.608592	13	global mean
Cystopteridaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	23.75317803	mg/g	7.132890139	18	global mean
Cystopteridaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	59.91047059	mm^2/mg	23.74064914	17	global mean
Cystopteridaceae	family	3106	Plant height vegetative	0.250564516	m	0.145381704	62	global mean
Cystopteridaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Cystopteridaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Crassulaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	1195.855885	mm^2	1365.857894	26	global mean
Crassulaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	23.22240821	mg/g	9.997207987	33	global mean
Crassulaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	20.19546611	mm^2/mg	8.614287204	82	global mean
Crassulaceae	family	3106	Plant height vegetative	0.248990262	m	0.405877155	401	global mean
Crassulaceae	family	26	Seed dry mass	0.068455786	mg	0.446559796	286	global mean
Crassulaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Sphagnaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Sphagnaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	8.9	mg/g	0.115470054	2	global mean
Sphagnaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Sphagnaceae	family	3106	Plant height vegetative	0.05	m	NA	1	global mean
Sphagnaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Sphagnaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
