timeline_id,bin_early,bin_late,morphotype
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,7500,7000,pediastrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8000,7500,pediastrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8500,8000,pediastrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9000,8500,pediastrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9500,9000,pediastrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10000,9500,pediastrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10500,10000,pediastrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11000,10500,pediastrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11500,11000,pediastrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,12000,11500,pediastrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,12500,12000,pediastrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,7500,7000,betula nana
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,7500,7000,cyperaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,7500,7000,empetrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,7500,7000,ericales undiff.
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,7500,7000,gramineae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,7500,7000,salix arctica
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8000,7500,betula nana
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8000,7500,cyperaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8000,7500,empetrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8000,7500,ericales undiff.
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8000,7500,gramineae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8000,7500,salix arctica
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8500,8000,betula nana
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8500,8000,cyperaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8500,8000,empetrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8500,8000,ericales undiff.
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8500,8000,gramineae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8500,8000,salix arctica
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8500,8000,cassiope
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8500,8000,oxyria
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8500,8000,salix herbacea
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,8500,8000,saxifraga oppositifolia
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9000,8500,betula nana
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9000,8500,cyperaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9000,8500,empetrum
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9000,8500,ericales undiff.
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9000,8500,gramineae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9000,8500,salix arctica
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9000,8500,cassiope
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9000,8500,oxyria
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9000,8500,salix herbacea
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9000,8500,saxifraga oppositifolia
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9500,9000,betula nana
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9500,9000,cassiope
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9500,9000,ericales undiff.
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9500,9000,gramineae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9500,9000,oxyria
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9500,9000,salix arctica
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9500,9000,salix herbacea
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9500,9000,saxifraga oppositifolia
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9500,9000,caryophyllaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9500,9000,cyperaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,9500,9000,koenigia islandica
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10000,9500,betula nana
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10000,9500,caryophyllaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10000,9500,cyperaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10000,9500,gramineae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10000,9500,koenigia islandica
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10000,9500,oxyria
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10000,9500,salix arctica
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10000,9500,salix herbacea
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10500,10000,betula nana
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10500,10000,caryophyllaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10500,10000,cyperaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10500,10000,gramineae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10500,10000,koenigia islandica
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10500,10000,oxyria
